,sido,sigungu,cityGubun,marketType,userType,ageGroup,gender,dtYearMonth,userCount,useCount,useCost
194,제주도,제주시,도심,식음료,제주도민,50대,남,201812,31612,73241,2677623804
195,제주도,제주시,도심,식음료,제주도민,40대,여,201812,32684,80019,2001259416
196,제주도,제주시,도심,식음료,제주도민,40대,남,201812,37971,91126,3072843541
197,제주도,제주시,도심,식음료,제주도민,30대,여,201812,26450,61995,1392458502
198,제주도,제주시,도심,식음료,제주도민,30대,남,201812,29911,71942,2012042808
199,제주도,제주시,도심,식음료,제주도민,20대미만,여,201812,1922,4526,54922167
200,제주도,제주시,도심,식음료,제주도민,20대미만,남,201812,1703,4087,59242442
201,제주도,제주시,도심,식음료,제주도민,20대,여,201812,22609,58885,1079710520
202,제주도,제주시,도심,식음료,제주도민,20대,남,201812,20183,52283,1177177852
203,제주도,제주시,도심,식음료,내국인관광객,60대이상,여,201812,3432,4683,169156209
204,제주도,제주시,도심,식음료,내국인관광객,60대이상,남,201812,6503,9620,384008936
205,제주도,제주시,도심,식음료,내국인관광객,50대,여,201812,8738,12195,401238930
206,제주도,제주시,도심,식음료,내국인관광객,50대,남,201812,15710,24658,973177635
207,제주도,제주시,도심,식음료,내국인관광객,40대,여,201812,11686,17544,530041047
208,제주도,제주시,도심,식음료,내국인관광객,40대,남,201812,18443,29954,998648314
209,제주도,제주시,도심,식음료,내국인관광객,30대,여,201812,15619,22925,562195533
210,제주도,제주시,도심,식음료,내국인관광객,30대,남,201812,20014,31667,889153494
211,제주도,제주시,도심,식음료,내국인관광객,20대미만,여,201812,468,739,11830740
212,제주도,제주시,도심,식음료,내국인관광객,20대미만,남,201812,438,644,11875570
213,제주도,제주시,도심,식음료,내국인관광객,20대,여,201812,17865,26709,536235139
214,제주도,제주시,도심,식음료,내국인관광객,20대,남,201812,14313,22758,496482176
215,제주도,제주시,도심,숙박,제주도민,60대이상,여,201812,241,354,57047747
216,제주도,제주시,도심,숙박,제주도민,60대이상,남,201812,431,596,249038339
217,제주도,제주시,도심,숙박,제주도민,50대,여,201812,374,522,161486158
218,제주도,제주시,도심,숙박,제주도민,50대,남,201812,855,1177,225591647
219,제주도,제주시,도심,숙박,제주도민,40대,여,201812,545,694,107319419
220,제주도,제주시,도심,숙박,제주도민,40대,남,201812,1051,1415,139464868
221,제주도,제주시,도심,숙박,제주도민,30대,여,201812,293,383,36885391
222,제주도,제주시,도심,숙박,제주도민,30대,남,201812,654,883,111992634
223,제주도,제주시,도심,숙박,제주도민,20대미만,여,201812,15,20,932992
224,제주도,제주시,도심,숙박,제주도민,20대미만,남,201812,21,24,1007100
225,제주도,제주시,도심,숙박,제주도민,20대,여,201812,395,512,21686651
226,제주도,제주시,도심,숙박,제주도민,20대,남,201812,601,791,34128787
227,제주도,제주시,도심,숙박,내국인관광객,60대이상,여,201812,210,250,36923649
228,제주도,제주시,도심,숙박,내국인관광객,60대이상,남,201812,523,649,75543214
229,제주도,제주시,도심,숙박,내국인관광객,50대,여,201812,501,610,74534806
230,제주도,제주시,도심,숙박,내국인관광객,50대,남,201812,1284,1669,201011932
231,제주도,제주시,도심,숙박,내국인관광객,40대,여,201812,697,864,104890474
232,제주도,제주시,도심,숙박,내국인관광객,40대,남,201812,1445,1893,240588664
233,제주도,제주시,도심,숙박,내국인관광객,30대,여,201812,722,853,72914516
234,제주도,제주시,도심,숙박,내국인관광객,30대,남,201812,1162,1396,147070430
235,제주도,제주시,도심,숙박,내국인관광객,20대미만,여,201812,18,19,1574244
236,제주도,제주시,도심,숙박,내국인관광객,20대미만,남,201812,22,23,1007050
237,제주도,제주시,도심,숙박,내국인관광객,20대,여,201812,653,710,58217084
238,제주도,제주시,도심,숙박,내국인관광객,20대,남,201812,696,788,54550691
239,제주도,제주시,도심,쇼핑,제주도민,60대이상,여,201812,11643,35344,1140045324
240,제주도,제주시,도심,쇼핑,제주도민,60대이상,남,201812,14851,45375,1237465171
241,제주도,제주시,도심,쇼핑,제주도민,50대,여,201812,21410,70176,1952295014
242,제주도,제주시,도심,쇼핑,제주도민,50대,남,201812,27486,91999,2034383049
243,제주도,제주시,도심,쇼핑,제주도민,40대,여,201812,28678,96631,2375472748
244,제주도,제주시,도심,쇼핑,제주도민,40대,남,201812,36807,130319,2529177251
245,제주도,제주시,도심,쇼핑,제주도민,30대,여,201812,23153,72339,1536281893
246,제주도,제주시,도심,쇼핑,제주도민,30대,남,201812,29813,109220,1660109894
247,제주도,제주시,도심,쇼핑,제주도민,20대미만,여,201812,1668,4677,29354205
248,제주도,제주시,도심,쇼핑,제주도민,20대미만,남,201812,1948,7113,36349007
249,제주도,제주시,도심,쇼핑,제주도민,20대,여,201812,19385,64178,780068567
250,제주도,제주시,도심,쇼핑,제주도민,20대,남,201812,21418,80876,783036288
251,제주도,제주시,도심,쇼핑,내국인관광객,60대이상,여,201812,4303,8326,368451592
252,제주도,제주시,도심,쇼핑,내국인관광객,60대이상,남,201812,6989,13782,546073169
253,제주도,제주시,도심,쇼핑,내국인관광객,50대,여,201812,10031,18756,802192882
254,제주도,제주시,도심,쇼핑,내국인관광객,50대,남,201812,17162,36775,1237493484
255,제주도,제주시,도심,쇼핑,내국인관광객,40대,여,201812,12572,24933,974289790
256,제주도,제주시,도심,쇼핑,내국인관광객,40대,남,201812,21145,48451,1365055576
257,제주도,제주시,도심,쇼핑,내국인관광객,30대,여,201812,14893,28317,930574225
258,제주도,제주시,도심,쇼핑,내국인관광객,30대,남,201812,21125,46716,1149478799
259,제주도,제주시,도심,쇼핑,내국인관광객,20대미만,여,201812,476,910,15848600
260,제주도,제주시,도심,쇼핑,내국인관광객,20대미만,남,201812,489,939,13383230
261,제주도,제주시,도심,쇼핑,내국인관광객,20대,여,201812,16635,31254,739091401
262,제주도,제주시,도심,쇼핑,내국인관광객,20대,남,201812,15990,35968,609065038
263,제주도,제주시,도심,소매,제주도민,60대이상,여,201812,5756,8683,922378446
264,제주도,제주시,도심,소매,제주도민,60대이상,남,201812,5386,7670,833806915
265,제주도,제주시,도심,소매,제주도민,50대,여,201812,8675,13509,1468331810
266,제주도,제주시,도심,소매,제주도민,50대,남,201812,7600,10998,1149335538
